id,customer_id,driver_id,restaurant_id,delivery_location_id,status,remark,total_amount,driver_fee,created_at,updated_at
18,5,95,120,9,preparing,,63.69,7.96,2025-11-07 10:12:29.095783,2025-11-07 10:12:29.095783
19,5,88,116,9,success,,54.36,5.91,2025-10-19 00:54:28.598046,2025-10-19 00:54:28.598046
20,5,84,118,9,pending,,119.9,13.29,2025-10-28 07:06:10.632750,2025-10-28 07:06:10.632750
21,6,102,110,10,pending,Compare his kid include main mouth decade success clear onto.,81.88,10.48,2025-10-25 22:18:52.559630,2025-10-25 22:18:52.559630
22,6,97,107,10,rejected,Yard follow industry represent but office others school well.,60.41,5.97,2025-11-07 21:09:11.405493,2025-11-07 21:09:11.405493
23,6,105,108,10,rejected,,301.24,23.5,2025-10-28 04:47:09.351666,2025-10-28 04:47:09.351666
24,6,104,119,10,pending,Deep tend former window science.,76.74,8.94,2025-10-30 05:54:20.437531,2025-10-30 05:54:20.437531
25,7,92,121,13,delivered,,98.96,11.75,2025-10-05 16:55:56.896317,2025-10-05 16:55:56.896317
26,7,99,121,11,pending,,77.91,6.5,2025-11-02 20:30:15.188359,2025-11-02 20:30:15.188359
27,7,92,106,11,preparing,,28.77,3.63,2025-10-28 02:47:50.321090,2025-10-28 02:47:50.321090
28,7,104,119,11,pending,,45.61,4.11,2025-10-30 20:28:26.581308,2025-10-30 20:28:26.581308
29,8,,111,16,rejected,,20.85,1.63,2025-10-20 05:17:03.230494,2025-10-20 05:17:03.230494
30,8,90,120,14,rejected,,130.42,14.35,2025-10-14 06:55:58.221228,2025-10-14 06:55:58.221228
31,8,,123,14,delivered,,42.49,3.73,2025-10-09 10:57:47.647476,2025-10-09 10:57:47.647476
32,8,,118,16,preparing,,130.53,16.84,2025-10-31 16:07:43.287329,2025-10-31 16:07:43.287329
33,9,97,122,17,pending,,50.08,6.05,2025-10-13 00:27:49.511886,2025-10-13 00:27:49.511886
34,9,104,113,18,preparing,Ability moment ask admit rich some enough administration.,60.65,6.09,2025-11-06 07:44:40.102430,2025-11-06 07:44:40.102430
35,9,91,109,17,delivered,,20.51,1.67,2025-11-12 04:15:46.871855,2025-11-12 04:15:46.871855
36,9,88,107,17,pending,,70.25,6.83,2025-10-07 13:59:06.692642,2025-10-07 13:59:06.692642
37,10,85,106,19,preparing,Network yet instead avoid impact.,44.89,3.49,2025-11-04 20:21:32.704043,2025-11-04 20:21:32.704043
38,10,,108,19,pending,,165.51,19.9,2025-10-16 02:34:10.244762,2025-10-16 02:34:10.244762
39,10,,107,20,rejected,,14.0,1.44,2025-10-02 09:50:24.141654,2025-10-02 09:50:24.141654
40,10,100,114,19,rejected,,145.35,13.29,2025-10-24 21:00:26.922919,2025-10-24 21:00:26.922919
41,11,97,118,22,success,,36.11,3.99,2025-11-10 02:03:55.637100,2025-11-10 02:03:55.637100
42,11,88,116,22,rejected,,84.84,6.58,2025-10-12 06:40:06.740533,2025-10-12 06:40:06.740533
43,11,93,113,22,delivered,,107.52,9.47,2025-10-11 06:00:37.052787,2025-10-11 06:00:37.052787
44,11,82,112,23,success,,121.48,10.57,2025-11-13 16:30:57.906653,2025-11-13 16:30:57.906653
45,12,85,116,24,delivered,,26.73,3.27,2025-11-02 11:10:07.548296,2025-11-02 11:10:07.548296
46,12,99,121,24,delivered,Action eat marriage public world page cup.,98.72,11.46,2025-10-01 14:59:30.012342,2025-10-01 14:59:30.012342
47,12,88,113,24,pending,,113.84,12.61,2025-10-24 01:50:32.950049,2025-10-24 01:50:32.950049
48,12,84,112,24,rejected,,98.67,7.32,2025-10-19 12:04:37.959994,2025-10-19 12:04:37.959994
49,13,96,121,26,preparing,Business hope whom decision next book.,165.37,19.42,2025-10-19 21:52:03.896308,2025-10-19 21:52:03.896308
50,13,,115,26,rejected,Away manager nice side three while that right.,14.27,1.34,2025-10-05 07:23:14.090271,2025-10-05 07:23:14.090271
51,13,94,116,27,preparing,,62.1,5.81,2025-10-01 07:02:08.569698,2025-10-01 07:02:08.569698
52,13,96,113,26,pending,,28.52,2.21,2025-11-14 11:24:43.419182,2025-11-14 11:24:43.419182
53,14,101,121,28,rejected,,72.17,9.33,2025-11-08 16:53:10.392451,2025-11-08 16:53:10.392451
54,14,93,121,28,rejected,,113.27,8.69,2025-10-02 15:29:54.494785,2025-10-02 15:29:54.494785
55,14,92,107,28,success,Pm adult provide carry international interest relationship enter source each.,129.62,12.74,2025-10-02 02:43:14.949350,2025-10-02 02:43:14.949350
56,14,105,108,28,preparing,,57.31,7.32,2025-10-27 09:32:50.389389,2025-10-27 09:32:50.389389
57,15,104,108,31,success,,149.17,15.86,2025-10-15 11:00:04.081786,2025-10-15 11:00:04.081786
58,15,99,122,29,success,,160.85,20.34,2025-10-30 22:53:59.606386,2025-10-30 22:53:59.606386
59,15,100,121,30,rejected,For its maybe power along material attention let training.,21.52,2.44,2025-10-06 18:19:56.625619,2025-10-06 18:19:56.625619
60,15,,121,30,rejected,,91.38,8.28,2025-11-06 04:40:37.270215,2025-11-06 04:40:37.270215
61,16,94,110,32,rejected,Point expect shoulder audience sort get entire miss.,138.37,10.99,2025-11-09 01:33:53.005294,2025-11-09 01:33:53.005294
62,16,103,117,32,success,,57.52,5.62,2025-10-23 01:58:54.626252,2025-10-23 01:58:54.626252
63,16,101,112,32,delivered,,65.36,4.96,2025-11-06 22:35:39.929412,2025-11-06 22:35:39.929412
64,16,99,108,32,preparing,,64.11,7.14,2025-10-29 08:14:43.733346,2025-10-29 08:14:43.733346
65,17,100,106,33,delivered,,90.02,11.58,2025-11-06 01:11:28.302721,2025-11-06 01:11:28.302721
66,17,100,118,34,rejected,Here kind word one scene speak maybe apply year indeed.,209.99,23.81,2025-10-19 04:21:18.626200,2025-10-19 04:21:18.626200
67,17,105,114,33,delivered,,93.37,9.12,2025-10-22 10:40:06.451898,2025-10-22 10:40:06.451898
68,17,,112,34,preparing,,136.9,14.18,2025-11-01 14:28:33.972717,2025-11-01 14:28:33.972717
69,18,,110,35,preparing,,107.56,9.38,2025-10-24 01:04:55.313879,2025-10-24 01:04:55.313879
70,18,101,117,35,pending,,173.91,22.17,2025-10-27 20:43:15.792415,2025-10-27 20:43:15.792415
71,18,87,118,35,rejected,More most against trouble home with.,268.2,33.45,2025-10-14 08:56:21.108821,2025-10-14 08:56:21.108821
72,18,89,116,35,rejected,,123.17,14.51,2025-10-11 21:04:01.992693,2025-10-11 21:04:01.992693
73,19,98,119,39,pending,,105.29,10.1,2025-11-04 13:38:57.484336,2025-11-04 13:38:57.484336
74,19,93,113,39,preparing,Expect six think experience stay.,17.73,1.92,2025-10-20 05:33:02.957372,2025-10-20 05:33:02.957372
75,19,,120,39,preparing,Administration fight anything tree everyone name car ground question single.,95.47,9.08,2025-10-11 20:22:02.193383,2025-10-11 20:22:02.193383
76,19,86,110,38,pending,,6.07,0.58,2025-10-12 11:18:49.598004,2025-10-12 11:18:49.598004
77,20,94,107,40,rejected,,115.61,12.23,2025-11-08 03:54:41.486664,2025-11-08 03:54:41.486664
78,20,103,106,40,pending,,87.47,10.62,2025-11-03 11:40:44.317295,2025-11-03 11:40:44.317295
79,20,,121,40,delivered,,87.56,11.3,2025-10-16 04:29:50.577654,2025-10-16 04:29:50.577654
80,20,84,116,40,preparing,,79.31,8.93,2025-10-10 14:33:40.166969,2025-10-10 14:33:40.166969
81,21,84,114,41,delivered,,94.34,8.98,2025-10-18 17:42:01.159154,2025-10-18 17:42:01.159154
82,21,93,114,41,rejected,,179.31,20.39,2025-11-02 11:45:51.293501,2025-11-02 11:45:51.293501
83,21,,107,41,rejected,Point responsibility effort worry agent thought.,48.63,5.83,2025-10-11 03:10:39.292124,2025-10-11 03:10:39.292124
84,21,,106,41,delivered,Project behind operation middle.,57.53,5.15,2025-10-23 15:40:13.038026,2025-10-23 15:40:13.038026
85,22,102,122,42,success,,220.03,18.24,2025-10-16 19:23:50.115592,2025-10-16 19:23:50.115592
86,22,88,116,43,success,,46.82,4.68,2025-10-31 06:36:40.217023,2025-10-31 06:36:40.217023
87,22,98,106,43,success,,43.43,5.26,2025-11-10 16:24:01.844132,2025-11-10 16:24:01.844132
88,22,84,120,43,delivered,,140.57,12.26,2025-11-01 08:34:06.249053,2025-11-01 08:34:06.249053
89,23,93,119,44,preparing,,10.44,1.05,2025-10-12 10:15:20.530132,2025-10-12 10:15:20.530132
90,23,,109,44,success,,67.58,7.86,2025-11-06 21:25:44.664350,2025-11-06 21:25:44.664350
91,23,100,111,44,success,,201.27,19.83,2025-10-19 13:03:10.984864,2025-10-19 13:03:10.984864
92,23,100,122,44,preparing,,113.48,12.88,2025-10-14 08:38:02.431546,2025-10-14 08:38:02.431546
93,24,102,116,46,success,,107.62,12.58,2025-10-28 23:23:29.733242,2025-10-28 23:23:29.733242
94,24,90,115,45,rejected,Life candidate them my party put standard perform why.,84.08,8.0,2025-10-11 07:20:33.258903,2025-10-11 07:20:33.258903
95,24,102,118,47,rejected,,39.9,5.05,2025-10-05 13:43:24.489763,2025-10-05 13:43:24.489763
96,24,,106,45,success,,154.81,14.8,2025-10-15 05:19:13.147799,2025-10-15 05:19:13.147799
97,25,94,111,48,preparing,Go significant health side though together.,30.82,3.28,2025-10-12 09:55:06.481958,2025-10-12 09:55:06.481958
98,25,105,110,49,delivered,,42.69,4.68,2025-11-01 17:05:09.488593,2025-11-01 17:05:09.488593
99,25,,123,48,delivered,Crime everyone guy yeah rich modern music write low life.,89.57,8.38,2025-10-06 06:37:15.680184,2025-10-06 06:37:15.680184
100,25,,113,49,success,,14.08,1.36,2025-11-04 03:34:59.832848,2025-11-04 03:34:59.832848
101,26,,115,50,pending,Still mission manager trade radio success risk quickly.,85.86,6.4,2025-11-02 22:51:07.442024,2025-11-02 22:51:07.442024
102,26,83,109,50,pending,,71.03,8.06,2025-10-11 15:36:21.390843,2025-10-11 15:36:21.390843
103,26,88,107,50,rejected,,88.66,8.68,2025-10-24 13:07:17.572644,2025-10-24 13:07:17.572644
104,26,97,109,50,pending,,171.03,15.7,2025-10-30 20:35:42.906467,2025-10-30 20:35:42.906467
105,27,98,106,51,delivered,,154.96,12.81,2025-10-11 12:00:41.076506,2025-10-11 12:00:41.076506
106,27,88,112,51,success,,71.69,5.8,2025-10-28 05:28:41.741115,2025-10-28 05:28:41.741115
107,27,100,121,51,rejected,,32.1,2.98,2025-10-21 13:05:57.718696,2025-10-21 13:05:57.718696
108,27,88,117,51,delivered,,92.06,10.22,2025-10-09 18:03:22.320997,2025-10-09 18:03:22.320997
109,28,89,123,54,preparing,,44.28,5.52,2025-10-10 06:20:56.581369,2025-10-10 06:20:56.581369
110,28,98,122,52,delivered,,138.5,16.39,2025-10-03 05:58:09.151870,2025-10-03 05:58:09.151870
111,28,99,111,52,delivered,Meet Democrat much common fact exist official.,149.82,17.38,2025-10-17 02:55:37.403048,2025-10-17 02:55:37.403048
112,28,101,117,52,success,,63.8,7.3,2025-11-13 19:43:04.022258,2025-11-13 19:43:04.022258
113,29,92,108,55,preparing,,182.12,13.56,2025-10-29 22:45:10.175555,2025-10-29 22:45:10.175555
114,29,100,114,55,preparing,,110.09,13.28,2025-10-10 01:32:13.561498,2025-10-10 01:32:13.561498
115,29,94,121,55,success,,55.93,4.29,2025-10-11 15:18:32.573033,2025-10-11 15:18:32.573033
116,29,,122,55,rejected,,41.07,4.48,2025-10-07 15:23:32.890435,2025-10-07 15:23:32.890435
117,30,102,110,56,preparing,,182.57,19.76,2025-10-09 06:21:34.570029,2025-10-09 06:21:34.570029
118,30,100,122,56,pending,Loss challenge key language so history them training simply animal.,244.58,25.27,2025-11-02 20:50:57.099840,2025-11-02 20:50:57.099840
119,30,,106,56,rejected,,207.76,18.21,2025-11-05 13:31:37.888540,2025-11-05 13:31:37.888540
120,30,,109,56,success,,69.23,7.52,2025-10-05 12:54:50.253268,2025-10-05 12:54:50.253268
121,31,87,122,57,rejected,,58.36,7.0,2025-10-21 09:57:24.296216,2025-10-21 09:57:24.296216
122,31,89,114,59,rejected,,50.49,5.92,2025-11-12 03:40:18.788932,2025-11-12 03:40:18.788932
123,31,103,123,59,pending,,136.01,11.19,2025-10-31 09:51:26.373856,2025-10-31 09:51:26.373856
124,31,,109,58,pending,Individual realize by she probably about.,25.57,2.8,2025-10-16 11:41:23.185572,2025-10-16 11:41:23.185572
125,32,83,121,60,rejected,,229.34,22.15,2025-10-12 22:05:54.879294,2025-10-12 22:05:54.879294
126,32,87,107,60,success,,133.85,16.97,2025-11-01 23:24:23.254215,2025-11-01 23:24:23.254215
127,32,93,111,60,success,Push employee will fly specific health material hand.,46.1,4.98,2025-10-11 07:59:39.772445,2025-10-11 07:59:39.772445
128,32,94,112,60,success,,45.73,4.87,2025-10-09 04:46:44.840460,2025-10-09 04:46:44.840460
129,33,,114,61,success,,161.12,16.26,2025-10-20 17:47:50.595653,2025-10-20 17:47:50.595653
130,33,89,113,61,delivered,Today serious standard purpose example lay full character commercial.,17.18,1.37,2025-10-01 22:52:59.805982,2025-10-01 22:52:59.805982
131,33,,112,61,preparing,,37.18,3.2,2025-11-12 18:15:36.182046,2025-11-12 18:15:36.182046
132,33,,109,61,rejected,,97.52,12.5,2025-10-16 02:35:50.535533,2025-10-16 02:35:50.535533
133,34,105,114,62,rejected,,112.93,8.73,2025-11-08 07:35:36.437005,2025-11-08 07:35:36.437005
134,34,81,111,62,success,Game picture newspaper continue sea total.,84.69,7.33,2025-10-17 07:03:23.979189,2025-10-17 07:03:23.979189
135,34,103,116,62,delivered,,126.61,15.53,2025-10-27 15:24:40.124212,2025-10-27 15:24:40.124212
136,34,85,110,62,rejected,,217.89,25.14,2025-10-08 15:40:33.913840,2025-10-08 15:40:33.913840
137,35,101,111,64,delivered,,42.09,4.22,2025-10-17 03:40:40.214138,2025-10-17 03:40:40.214138
138,35,97,112,64,rejected,,129.88,16.18,2025-11-13 21:45:46.269011,2025-11-13 21:45:46.269011
139,35,,111,64,delivered,,53.36,5.03,2025-11-12 10:08:35.821541,2025-11-12 10:08:35.821541
140,35,86,114,64,delivered,,49.08,5.68,2025-10-16 11:07:50.509192,2025-10-16 11:07:50.509192
141,36,85,106,65,rejected,,65.68,8.33,2025-10-01 18:29:05.212879,2025-10-01 18:29:05.212879
142,36,102,110,65,delivered,,70.99,8.73,2025-10-30 00:43:34.987505,2025-10-30 00:43:34.987505
143,36,101,110,66,success,,205.72,22.82,2025-10-21 15:40:00.443479,2025-10-21 15:40:00.443479
144,36,96,115,65,rejected,,67.33,5.02,2025-11-11 09:05:50.708308,2025-11-11 09:05:50.708308
145,37,98,115,68,rejected,,107.98,9.05,2025-10-09 03:57:56.522800,2025-10-09 03:57:56.522800
146,37,83,113,68,rejected,,88.95,7.17,2025-10-03 16:41:03.857723,2025-10-03 16:41:03.857723
147,37,,112,67,delivered,,70.66,9.11,2025-10-01 12:42:33.752527,2025-10-01 12:42:33.752527
148,37,82,119,68,preparing,Hit consider hair half recently whether threat news defense ball.,75.12,9.17,2025-10-23 16:23:18.982928,2025-10-23 16:23:18.982928
149,38,,111,70,preparing,,17.78,1.45,2025-10-05 12:47:18.725468,2025-10-05 12:47:18.725468
150,38,102,112,70,pending,,59.31,4.95,2025-11-06 22:51:57.980665,2025-11-06 22:51:57.980665
151,38,,115,70,preparing,,17.62,2.27,2025-10-06 03:22:23.486941,2025-10-06 03:22:23.486941
152,38,103,109,70,delivered,,132.7,14.4,2025-10-01 01:18:31.095438,2025-10-01 01:18:31.095438
153,39,84,107,71,delivered,,35.33,3.62,2025-10-28 19:58:34.257743,2025-10-28 19:58:34.257743
154,39,98,114,71,success,Base few side control trial property would cup.,117.84,12.09,2025-11-01 16:03:07.739270,2025-11-01 16:03:07.739270
155,39,95,108,71,preparing,,152.17,14.65,2025-11-02 21:13:13.626610,2025-11-02 21:13:13.626610
156,39,,116,71,delivered,Why wrong practice instead wife lead begin price special send.,95.37,8.87,2025-10-14 15:57:22.224391,2025-10-14 15:57:22.224391
157,40,97,112,72,delivered,Grow them wife stuff minute amount check wait hair card.,70.52,8.06,2025-10-14 17:46:54.062892,2025-10-14 17:46:54.062892
158,40,,108,72,delivered,,103.09,12.47,2025-10-14 13:17:22.470031,2025-10-14 13:17:22.470031
159,40,87,122,72,preparing,,42.98,4.5,2025-10-26 01:05:17.356680,2025-10-26 01:05:17.356680
160,40,94,119,72,success,,89.29,9.46,2025-11-08 00:06:27.487946,2025-11-08 00:06:27.487946
161,41,99,116,74,success,,115.8,11.12,2025-11-09 01:09:56.410458,2025-11-09 01:09:56.410458
162,41,,106,74,delivered,,99.72,11.78,2025-10-21 10:54:09.242109,2025-10-21 10:54:09.242109
163,41,93,113,74,pending,,49.98,6.3,2025-11-08 21:41:22.949644,2025-11-08 21:41:22.949644
164,41,,109,73,pending,,144.79,14.25,2025-10-01 18:18:24.316240,2025-10-01 18:18:24.316240
165,42,99,106,75,preparing,Ability save stand attention significant job tonight.,190.86,21.78,2025-10-15 21:12:17.484470,2025-10-15 21:12:17.484470
166,42,93,122,76,pending,,12.78,1.05,2025-10-17 17:25:20.904283,2025-10-17 17:25:20.904283
167,42,,108,75,rejected,,161.09,13.82,2025-11-07 14:34:51.870625,2025-11-07 14:34:51.870625
168,42,94,122,75,success,Parent learn city pressure five huge home.,26.46,3.0,2025-10-01 01:23:30.995476,2025-10-01 01:23:30.995476
169,43,95,111,78,delivered,Team control there him exist visit.,24.25,2.08,2025-10-13 17:21:25.659766,2025-10-13 17:21:25.659766
170,43,96,115,77,success,Still discover method message.,14.26,1.33,2025-11-04 20:09:33.448553,2025-11-04 20:09:33.448553
171,43,87,122,77,pending,,107.8,11.83,2025-10-30 20:20:12.874542,2025-10-30 20:20:12.874542
172,43,101,114,77,pending,,148.2,15.36,2025-10-06 04:58:20.956264,2025-10-06 04:58:20.956264
173,44,103,108,80,success,,17.19,1.31,2025-10-24 04:54:59.374041,2025-10-24 04:54:59.374041
174,44,,114,80,delivered,Often health figure form process situation.,20.53,2.62,2025-10-10 11:47:34.363571,2025-10-10 11:47:34.363571
175,44,,113,80,preparing,American collection young stuff maintain decade research story art.,113.58,11.39,2025-11-06 11:58:44.707078,2025-11-06 11:58:44.707078
176,44,105,112,79,success,,22.02,2.46,2025-10-09 00:21:37.102606,2025-10-09 00:21:37.102606
177,45,101,106,82,preparing,Take network power stop only reveal seven strategy friend ago.,111.65,9.28,2025-10-06 00:13:55.127744,2025-10-06 00:13:55.127744
178,45,81,114,81,preparing,,149.63,17.75,2025-11-13 21:32:16.781744,2025-11-13 21:32:16.781744
179,45,88,111,81,pending,,44.69,5.26,2025-10-20 04:14:10.194802,2025-10-20 04:14:10.194802
180,45,,112,81,rejected,,69.47,8.57,2025-11-12 10:15:31.145269,2025-11-12 10:15:31.145269
181,46,93,118,83,success,,102.53,13.04,2025-10-28 14:00:31.681970,2025-10-28 14:00:31.681970
182,46,93,107,83,delivered,,119.14,10.0,2025-10-21 21:23:09.571073,2025-10-21 21:23:09.571073
183,46,95,111,83,preparing,,86.42,9.35,2025-10-29 13:04:34.977150,2025-10-29 13:04:34.977150
184,46,101,111,83,success,,104.39,11.97,2025-11-14 20:09:37.597411,2025-11-14 20:09:37.597411
185,47,103,110,84,delivered,,31.75,3.13,2025-11-04 10:18:07.439247,2025-11-04 10:18:07.439247
186,47,,114,84,success,,120.19,14.44,2025-10-30 15:36:21.000687,2025-10-30 15:36:21.000687
187,47,98,106,84,preparing,Training son morning bit whatever.,9.77,0.75,2025-10-11 06:07:37.138717,2025-10-11 06:07:37.138717
188,47,86,115,84,success,,110.62,10.05,2025-10-13 17:52:46.062224,2025-10-13 17:52:46.062224
189,48,84,108,85,rejected,,101.98,9.53,2025-10-30 02:00:07.478964,2025-10-30 02:00:07.478964
190,48,91,122,85,success,,14.45,1.51,2025-10-28 09:03:05.022513,2025-10-28 09:03:05.022513
191,48,84,112,85,success,,24.37,2.98,2025-10-23 05:28:55.679209,2025-10-23 05:28:55.679209
192,48,91,115,85,success,,65.04,7.52,2025-10-23 19:02:34.748560,2025-10-23 19:02:34.748560
193,49,,110,87,rejected,,128.71,13.0,2025-10-08 12:57:16.370421,2025-10-08 12:57:16.370421
194,49,92,116,88,delivered,,102.26,12.47,2025-11-12 17:14:54.542907,2025-11-12 17:14:54.542907
195,49,90,114,86,pending,,155.51,14.29,2025-10-17 01:24:00.051991,2025-10-17 01:24:00.051991
196,49,96,120,86,preparing,,255.19,30.21,2025-10-12 02:11:22.427165,2025-10-12 02:11:22.427165
197,50,103,110,89,delivered,,17.92,1.45,2025-10-05 13:28:51.335328,2025-10-05 13:28:51.335328
198,50,91,112,89,preparing,Skin around pay expect around attention lose number head myself if.,81.72,6.63,2025-10-17 19:53:04.483854,2025-10-17 19:53:04.483854
199,50,89,123,89,preparing,Occur hot go attack test serious but hospital thank represent.,115.04,12.34,2025-10-07 00:31:57.209577,2025-10-07 00:31:57.209577
200,50,82,110,89,preparing,,41.03,4.06,2025-10-27 10:50:13.095532,2025-10-27 10:50:13.095532
201,51,83,116,90,rejected,,99.82,10.12,2025-10-29 09:03:18.642651,2025-10-29 09:03:18.642651
202,51,102,110,90,pending,,210.93,21.61,2025-11-14 15:42:58.866021,2025-11-14 15:42:58.866021
203,51,,115,90,pending,,91.51,9.73,2025-10-12 12:53:12.013551,2025-10-12 12:53:12.013551
204,51,87,113,90,rejected,,212.93,25.31,2025-10-03 05:03:59.586955,2025-10-03 05:03:59.586955
205,52,100,111,91,rejected,Catch hospital on address fine war east next.,155.21,12.4,2025-10-29 01:22:53.387862,2025-10-29 01:22:53.387862
206,52,85,118,91,preparing,,181.93,21.88,2025-10-18 00:56:56.256770,2025-10-18 00:56:56.256770
207,52,102,120,91,rejected,,66.6,8.4,2025-10-16 06:29:01.359571,2025-10-16 06:29:01.359571
208,52,98,106,91,delivered,The evidence coach suggest positive environment grow wait but movement seven.,104.09,11.09,2025-11-07 05:24:44.592116,2025-11-07 05:24:44.592116
209,53,96,118,92,delivered,,74.93,7.96,2025-10-23 21:53:25.775789,2025-10-23 21:53:25.775789
210,53,,110,93,rejected,,42.66,4.65,2025-11-10 06:01:25.338132,2025-11-10 06:01:25.338132
211,53,81,120,92,preparing,,170.77,20.88,2025-11-13 21:37:53.592218,2025-11-13 21:37:53.592218
212,53,84,117,93,pending,Able left total issue charge he.,108.92,11.12,2025-11-12 20:26:02.347162,2025-11-12 20:26:02.347162
213,54,98,122,94,delivered,,171.56,13.25,2025-11-08 04:35:13.579481,2025-11-08 04:35:13.579481
214,54,103,116,95,success,,139.03,12.79,2025-10-16 08:13:36.795982,2025-10-16 08:13:36.795982
215,54,,115,94,delivered,,74.68,6.12,2025-10-29 17:28:13.013982,2025-10-29 17:28:13.013982
216,54,,110,95,pending,,140.09,16.77,2025-10-13 15:23:37.174810,2025-10-13 15:23:37.174810
217,55,95,110,96,success,,217.17,18.24,2025-11-03 08:53:39.300931,2025-11-03 08:53:39.300931
218,55,85,115,96,rejected,,140.53,10.51,2025-10-23 08:39:56.017266,2025-10-23 08:39:56.017266
219,55,,107,96,delivered,,37.14,4.06,2025-10-10 22:36:08.035648,2025-10-10 22:36:08.035648
220,55,102,118,96,pending,,133.82,12.38,2025-11-12 15:46:26.430406,2025-11-12 15:46:26.430406
221,56,90,122,98,pending,,14.15,1.21,2025-10-06 15:31:30.665962,2025-10-06 15:31:30.665962
222,56,,112,97,success,,97.6,11.49,2025-10-02 02:03:15.536514,2025-10-02 02:03:15.536514
223,56,,108,99,delivered,,119.08,14.13,2025-10-12 08:40:50.066358,2025-10-12 08:40:50.066358
224,56,84,108,97,preparing,,151.72,17.91,2025-11-06 13:49:18.352430,2025-11-06 13:49:18.352430
225,57,104,114,100,pending,,78.41,9.29,2025-10-31 08:42:39.452509,2025-10-31 08:42:39.452509
226,57,,107,101,rejected,,206.26,23.65,2025-11-02 14:32:34.397358,2025-11-02 14:32:34.397358
227,57,,123,101,success,,61.91,5.03,2025-11-11 20:39:02.879074,2025-11-11 20:39:02.879074
228,57,,108,100,success,Story continue final indeed matter half his relate contain appear.,155.66,13.4,2025-11-05 02:23:04.835538,2025-11-05 02:23:04.835538
229,58,85,109,103,success,Call own clear will probably far show might.,73.06,8.43,2025-11-13 16:09:31.402804,2025-11-13 16:09:31.402804
230,58,104,106,102,preparing,,44.1,4.31,2025-11-09 11:19:52.510355,2025-11-09 11:19:52.510355
231,58,96,110,102,success,As owner threat wear show during front.,199.58,25.05,2025-10-14 13:33:49.970695,2025-10-14 13:33:49.970695
232,58,87,109,102,rejected,,62.55,5.87,2025-10-09 10:31:43.064458,2025-10-09 10:31:43.064458
233,59,105,107,104,preparing,,151.01,14.46,2025-11-10 17:28:20.960512,2025-11-10 17:28:20.960512
234,59,81,118,105,success,,43.9,5.55,2025-11-14 03:21:31.645660,2025-11-14 03:21:31.645660
235,59,103,119,104,pending,,80.73,8.83,2025-11-14 07:11:44.896889,2025-11-14 07:11:44.896889
236,59,,123,104,success,,31.28,3.43,2025-10-07 12:52:29.013743,2025-10-07 12:52:29.013743
237,60,82,110,106,rejected,,227.79,20.7,2025-10-24 17:35:06.739684,2025-10-24 17:35:06.739684
238,60,83,107,106,delivered,,178.11,19.29,2025-11-14 08:52:20.705200,2025-11-14 08:52:20.705200
239,60,82,118,106,success,,28.91,2.39,2025-10-01 09:52:18.530025,2025-10-01 09:52:18.530025
240,60,99,114,106,pending,,28.68,2.6,2025-10-01 06:26:41.776654,2025-10-01 06:26:41.776654
241,61,97,113,107,rejected,,51.69,5.6,2025-11-01 19:55:31.109292,2025-11-01 19:55:31.109292
242,61,,113,107,pending,,71.73,9.28,2025-10-04 02:35:16.857934,2025-10-04 02:35:16.857934
