id,user_id,restaurant_id,order_id,rate,review_text,created_at,updated_at
48,46,107,182,4.3,Drop by there well. Business suggest there environmental.,2025-10-21 21:23:09.571073,2025-10-21 21:23:09.571073
49,46,111,184,3.3,His control imagine dream address history. Material example buy hold.,2025-11-14 20:09:37.597411,2025-11-14 20:09:37.597411
50,47,110,185,3.3,Pick raise pattern interesting commercial teacher nice.,2025-11-04 10:18:07.439247,2025-11-04 10:18:07.439247
51,47,114,186,3.8,Production each value this. Themselves structure hour among sing.,2025-10-30 15:36:21.000687,2025-10-30 15:36:21.000687
52,47,115,188,4.9,Team want main wait you small floor official.,2025-10-13 17:52:46.062224,2025-10-13 17:52:46.062224
53,48,122,190,4.3,Chair employee there in still.,2025-10-28 09:03:05.022513,2025-10-28 09:03:05.022513
54,48,112,191,4.3,Would high example. Individual visit Congress sing.,2025-10-23 05:28:55.679209,2025-10-23 05:28:55.679209
55,49,116,194,3.2,,2025-11-12 17:14:54.542907,2025-11-12 17:14:54.542907
56,50,110,197,4.5,,2025-10-05 13:28:51.335328,2025-10-05 13:28:51.335328
57,52,106,208,4.2,,2025-11-07 05:24:44.592116,2025-11-07 05:24:44.592116
58,53,118,209,3.0,,2025-10-23 21:53:25.775789,2025-10-23 21:53:25.775789
59,54,116,214,5.0,,2025-10-16 08:13:36.795982,2025-10-16 08:13:36.795982
60,56,112,222,3.6,,2025-10-02 02:03:15.536514,2025-10-02 02:03:15.536514
61,56,108,223,4.6,Third administration religious especially like.,2025-10-12 08:40:50.066358,2025-10-12 08:40:50.066358
62,57,123,227,4.3,,2025-11-11 20:39:02.879074,2025-11-11 20:39:02.879074
63,58,110,231,3.6,,2025-10-14 13:33:49.970695,2025-10-14 13:33:49.970695
64,59,123,236,3.1,Have write all Mrs try. Hard coach will box heavy order.,2025-10-07 12:52:29.013743,2025-10-07 12:52:29.013743
65,60,107,238,3.2,,2025-11-14 08:52:20.705200,2025-11-14 08:52:20.705200
66,63,122,252,3.3,,2025-11-13 20:14:28.518592,2025-11-13 20:14:28.518592
67,64,106,255,3.6,,2025-11-11 06:48:38.606400,2025-11-11 06:48:38.606400
68,64,110,256,4.2,Work determine structure ready radio small agree. Senior one hotel some.,2025-10-04 04:47:00.517859,2025-10-04 04:47:00.517859
69,66,120,261,3.6,,2025-11-10 15:51:14.900387,2025-11-10 15:51:14.900387
70,66,109,262,4.1,,2025-10-10 16:32:24.649311,2025-10-10 16:32:24.649311
71,67,119,266,3.3,The southern money develop politics able.,2025-10-27 14:31:16.223677,2025-10-27 14:31:16.223677
72,68,106,270,4.2,Me performance west respond. On answer family. Hour season along if wall if by.,2025-10-15 03:10:32.421357,2025-10-15 03:10:32.421357
73,70,123,279,4.3,,2025-10-04 06:05:33.334056,2025-10-04 06:05:33.334056
74,70,111,280,3.8,Understand agree upon house wait particularly effort.,2025-10-06 01:08:06.410436,2025-10-06 01:08:06.410436
75,71,117,281,3.7,Join letter brother kitchen. Best those Republican floor.,2025-11-01 21:40:39.109371,2025-11-01 21:40:39.109371
76,72,114,287,4.2,,2025-11-14 10:25:47.171453,2025-11-14 10:25:47.171453
77,73,122,292,3.8,Political safe professor sort. Against raise form. Personal everyone man bring.,2025-11-01 23:43:04.310350,2025-11-01 23:43:04.310350
78,74,117,294,4.7,,2025-10-31 00:02:15.816256,2025-10-31 00:02:15.816256
79,76,118,304,3.6,,2025-10-23 21:31:46.222114,2025-10-23 21:31:46.222114
80,79,122,313,4.3,Per example mother program. Yet large leave specific himself easy including.,2025-10-05 16:04:18.861631,2025-10-05 16:04:18.861631
81,79,115,315,3.8,Rate effect southern nor without owner watch. Clear opportunity piece.,2025-10-22 04:25:02.914547,2025-10-22 04:25:02.914547
